epoch,train_loss,train_acc,val_loss,val_acc,top1,top5,firing_rate_layer_1,firing_rate_layer_2,firing_rate_layer_3,firing_rate_layer_4,firing_rate_layer_5,firing_rate_layer_6,firing_rate_layer_7,firing_rate_layer_8,avg_firing_rate
1,4.559581294604238,0.022937103289094058,4.478305086426671,0.024760832864378166,0.024760832864378166,0.11029825548677546,0.021057156090347515,0.018579658708739816,0.0218344584097596,0.02268406563631374,0.030045501665252248,0.0319813214459692,0.041610148850092614,0.04594719616553735,0.02921743837150151
2,4.44702458189158,0.04068090017311021,4.383878658705228,0.038829487900956666,0.038829487900956666,0.1288688801350591,0.02046707545333457,0.018990739989827636,0.020227081485252707,0.02362926078528155,0.032902890824333265,0.0336321212332833,0.03672991010477838,0.05944945713078008,0.030753567125858933
3,4.311603972931084,0.05698211194460473,4.213202486123739,0.09454136184580754,0.09454136184580754,0.2644907146876759,0.020526940692173326,0.020797850602999914,0.022183080062856388,0.024980980977034797,0.033411062951981395,0.03355092935054482,0.03451632628458026,0.07066830584172168,0.032579434595486574
4,4.1508525773590685,0.08496826312752452,3.967861738974738,0.13562183455261678,0.13562183455261678,0.35959482273494653,0.021102125283302856,0.023187248829993946,0.022106795696900737,0.02597822383268053,0.03185592006584548,0.033648548481544485,0.03402447853863026,0.08115294243254348,0.03413203539518022
5,3.985842096489331,0.11122331217541835,3.6601451571212222,0.16657287563308948,0.16657287563308948,0.44513224535734386,0.020780463220359306,0.024633763833905357,0.02168451447376678,0.02630208433455082,0.030508053688171232,0.03254628316953868,0.03313100406230342,0.0904692515758254,0.03500692729480262
6,3.8675339994683533,0.1201673398730525,3.504928219478761,0.21496904895891952,0.21496904895891952,0.4603263927968486,0.02026772911589661,0.02506365036759699,0.02149703787722538,0.026090649896941345,0.03063404423642785,0.03157559443135125,0.03297813402461028,0.1001239970872763,0.03602885462966575
7,3.722912358302696,0.14598961338718985,3.3224619397133455,0.2718064153066967,0.2718064153066967,0.509848058525605,0.02046734737252998,0.024245857879848565,0.020829215409271018,0.026520451222853635,0.030084698262974156,0.030213457888656252,0.03290081301362452,0.108616885803592,0.03673484085666876
8,3.6044270692537124,0.1752740911713791,3.196226133092102,0.2920652785593697,0.2920652785593697,0.5486775464265616,0.020423174048392844,0.025117055266287158,0.019761841211413056,0.026508524386487303,0.029499396692514453,0.02911563717161883,0.032218127356501855,0.11586650440799656,0.03731378256765151
9,3.513169514129181,0.19301788805539527,3.0345512762198,0.33033202025886327,0.33033202025886327,0.58244231851435,0.02056779121015319,0.02419685780617566,0.02029577451597808,0.02592611123459466,0.028368455374121297,0.02818183964257355,0.03179490675434054,0.12271111290647596,0.03775535618055162
10,3.386134445736015,0.2096076168493941,3.037214467878299,0.32583005064715814,0.32583005064715814,0.5649971862689926,0.020595806761438577,0.024292604087820753,0.02034727096899833,0.02591571580208198,0.027771512303847886,0.027314899918300627,0.03146607797809409,0.1286462760307444,0.03829377048141583
