epoch,train_loss,train_acc,val_loss,val_acc,top1,top5,firing_rate_layer_1,firing_rate_layer_2,firing_rate_layer_3,firing_rate_layer_4,firing_rate_layer_5,firing_rate_layer_6,firing_rate_layer_7,firing_rate_layer_8,avg_firing_rate
1,4.562102954692906,0.022504327755337564,4.556028895313965,0.028700056274620148,0.028700056274620148,0.09003939223410241,0.020040857844597353,0.019461585777889236,0.021874816735483662,0.022849059790038026,0.030571219432375157,0.03152587835159827,0.04189914305113203,0.04684831903321716,0.029383860002041365
2,4.44248390417748,0.04717253317945759,4.339990451196918,0.08103545301069218,0.08103545301069218,0.24310635903207653,0.02011749486855186,0.01646912610317482,0.01977148677375023,0.024868431471002067,0.03635490482278722,0.036895235913689234,0.04141198595219056,0.06416191645859548,0.03250632279546768
3,4.253998612312572,0.0706866705135603,4.084336695649699,0.16319639842431063,0.16319639842431063,0.3449634214969049,0.02126799825045587,0.019869308808678043,0.02310705536682608,0.028002225894187306,0.03840181016650342,0.037995371363054774,0.03867545736752251,0.07465237552727742,0.03524645034306318
4,4.107381184895833,0.08929601846508944,3.776713528975243,0.24592009003939225,0.24592009003939225,0.3967360720315138,0.0212266625122399,0.02139625125819663,0.023397364278295734,0.028859701605485608,0.04038575592579663,0.0388581060592408,0.038449474674840986,0.08461060257227326,0.03714798986079619
5,3.9319395353499855,0.1138199653779573,3.4703879115827414,0.24929656724817106,0.24929656724817106,0.4625773776027012,0.020578223786791364,0.021453970642885085,0.023326312254034216,0.0301552784435874,0.04075537127294519,0.038743862479957404,0.036585904255028605,0.09468586795861944,0.03828559888673109
6,3.791753397130911,0.1286785920369302,3.334564828551938,0.2639279684862127,0.2639279684862127,0.4845244794597636,0.020102757760728708,0.021568731588027714,0.02384833332332114,0.030540484792007102,0.03967401048595551,0.03834141524901098,0.03550680371650106,0.10367113739853125,0.03915670928926043
7,3.651334945168325,0.15767455279861511,3.2293889731035104,0.289251547552054,0.289251547552054,0.5250422059651098,0.02017025311111644,0.02168749780983676,0.022468115874737005,0.03098074283328525,0.038668659513263544,0.03748270237517917,0.0343313089739851,0.11135154700388403,0.03964260343691091
8,3.5536480719930434,0.17873629544143105,3.030505153095776,0.3353967360720315,0.3353967360720315,0.5509285312324141,0.019883584469965486,0.021405328368879872,0.02295346324463881,0.030469204740464433,0.03823521719171879,0.03684699405556701,0.033628642713630696,0.11829373495443174,0.040214521217412105
9,3.4373212592137037,0.1977784189267167,2.968597226880591,0.3269555430500844,0.3269555430500844,0.5717501406865504,0.019938330332601072,0.023194342288973414,0.02195836057479225,0.03158415030593874,0.03755058940023339,0.0360111231905725,0.03337501771472297,0.12446119629196369,0.04100913876247475
10,3.3744235803236737,0.20989613387189845,2.8290102578064786,0.34946539110861,0.34946539110861,0.5908835115362971,0.020183954005779377,0.022444878315781985,0.022623073219534995,0.03054459633330792,0.03743881636774865,0.035488646168172336,0.03305132279488226,0.13005463643790852,0.041478740455389504
11,3.2694533192987674,0.23687247547605308,2.7481189428958124,0.3804164321890827,0.3804164321890827,0.606640405177265,0.021109503797242447,0.023424435186103036,0.021902259752025102,0.03125635136909816,0.037221848258960195,0.0347333745618763,0.032842290259045885,0.13535450471409596,0.042230570987305885
12,3.206308754257677,0.251731102135026,2.681049226645397,0.3984243106359032,0.3984243106359032,0.6280247608328644,0.02155006028997926,0.023581909445635908,0.022659021662007648,0.03138020134566967,0.03638187352582107,0.03457923812628883,0.03240252226252577,0.1401765995746281,0.04283892827906953
