epoch,train_loss,train_acc,val_loss,val_acc,top1,top5,firing_rate_layer_1,firing_rate_layer_2,firing_rate_layer_3,firing_rate_layer_4,firing_rate_layer_5,firing_rate_layer_6,firing_rate_layer_7,firing_rate_layer_8,firing_rate_layer_9,firing_rate_layer_10,firing_rate_layer_11,firing_rate_layer_12,firing_rate_layer_13,firing_rate_layer_14,firing_rate_layer_15,firing_rate_layer_16,firing_rate_layer_17,avg_firing_rate
1,5.074160217688211,0.025115473441108545,4.522219270868686,0.020821609454136185,0.020821609454136185,0.1344963421496905,0.19348317617657534,0.2550273939110767,0.2714559506821906,0.25778162912390695,0.2745323425599899,0.25972518855127796,0.2735271456049776,0.2592534661567074,0.27151348530561076,0.2604427175412232,0.27156526455934,0.2574841768988247,0.26715740247704506,0.23855617742428845,0.18783543992316581,0.2189807707687903,0.15837881154027475,0.24568826701207444
2,4.498013158593387,0.03969399538106236,4.283006764313566,0.04220596510973551,0.04220596510973551,0.18289251547552055,0.19041815472745344,0.24070780600624522,0.2688525177966589,0.23668147021326524,0.26639892512354363,0.2340768456733089,0.2579720635249697,0.23335876771773417,0.2565427115867877,0.23017276018515395,0.24893919933801423,0.2234027573158001,0.24457034845461786,0.17782550154061147,0.12187751594631151,0.15769320433167203,0.09600778426247081,0.21679401963203637
3,4.295970315470706,0.06408775981524249,4.0940950413990445,0.08216094541361846,0.08216094541361846,0.28418683173888576,0.18863947407952666,0.22568865688367823,0.2653782004871588,0.22249493741441048,0.2552691830163714,0.21333018313879265,0.2518146315388296,0.21227463645496597,0.24799617438480773,0.20471229246292982,0.2515243118110744,0.19974333708313688,0.24907413614207305,0.14450194347863907,0.10813411844187769,0.1277274883752581,0.09107908753142956,0.20349310545440938
4,4.078505139978598,0.09526558891454966,3.7928369291160138,0.1738885762521103,0.1738885762521103,0.3725379853685988,0.18721351744114667,0.20762979704758214,0.25853874009231037,0.20821480345451973,0.24791285975226043,0.1934888563484981,0.2443425945851995,0.18808161242254848,0.23915071531273857,0.17478866708689722,0.24183730114465476,0.17075581605407023,0.24907066301367764,0.11670290716763199,0.09745805762279992,0.10565436176870058,0.08607890337363056,0.18923059845228632
5,3.8806470819763996,0.1265877598152425,3.581284688192633,0.19696117051209905,0.19696117051209905,0.40461451885199773,0.18487935723929566,0.18894002596537274,0.25076764282138875,0.19461209900077736,0.2441473673677991,0.17088769101548468,0.23467880402488264,0.16281874711486113,0.2276433385651687,0.14532815911304,0.2404153122299019,0.13601608934073608,0.24409356215904512,0.08255819211060975,0.08621346923126574,0.08027796076632093,0.07852587645081265,0.1736943349715743
6,3.7041499130169733,0.15444572748267898,3.275927682628546,0.25323579065841306,0.25323579065841306,0.4884637028700056,0.18123105038171528,0.17268212877470873,0.24210165363618702,0.18209882122346727,0.23400962566507277,0.15006657019428823,0.2253245406315245,0.13876469645006906,0.21772463743714088,0.11924982092846395,0.2364495564603257,0.10804537499087984,0.2429088653915229,0.05268774361445987,0.07674054551398618,0.05801450444363997,0.08079826793451418,0.15993520021599802
7,3.5251915559482354,0.18201501154734412,3.1835059831294776,0.2785593697242544,0.2785593697242544,0.4879009566685425,0.17652738516358124,0.1577565571357465,0.2338523257463827,0.16812609891781854,0.22566508150648798,0.13425403529200056,0.21968217762037254,0.11914995851187868,0.21454803006402373,0.09698438227861779,0.22821490846831224,0.08442051284614653,0.24024655309216722,0.03001807640338765,0.0684576731714709,0.0394055763332323,0.0802666359386225,0.14809270402883823
8,3.33290616083916,0.21737875288683603,3.1553005410416777,0.2684299380979178,0.2684299380979178,0.5160382667416995,0.17580263083008513,0.14535498531385402,0.22648849585960648,0.1589611301202883,0.22351474783886444,0.1200409650254524,0.21621431350708004,0.10409523865272259,0.20893000986384253,0.08105221583925448,0.22338425691100383,0.06892968846463612,0.2373326575619052,0.01927259510961072,0.06899488076396373,0.02872483352134968,0.08422768077631106,0.1406659603505783
9,3.1859148186018507,0.2423498845265589,2.953500050099174,0.3061339335959482,0.3061339335959482,0.5649971862689926,0.17209513773863347,0.1367041596599009,0.22088126215441467,0.1462641166818553,0.21367434896271809,0.10660971718272944,0.21389374897397792,0.09184001286824543,0.20311988720948662,0.06956551518933529,0.2176016020500797,0.056013337497053464,0.23369183025140866,0.013577495881880836,0.0736999678337711,0.021542660066451145,0.09111457210847701,0.13422878660649526
10,3.028056022201344,0.27295034642032334,2.8376549577231898,0.3297692740574001,0.3297692740574001,0.5931344963421497,0.17058403442645897,0.12703501449234175,0.2147586973782244,0.1352160744283391,0.20716478819134593,0.09806541793647851,0.21041031190718731,0.08110501366100095,0.19622918118005508,0.060538031917878966,0.21230308269632267,0.04772565863598353,0.23014246271944597,0.009559334941294004,0.07610695236030665,0.015976915030643867,0.09334636293608564,0.1286039608729055
